название,жанр
Hellblade: Senua's Sacrifice,экшен приключение общий
The Walking Dead: Episode 5 - No Time Left,разнообразие приключение общий сборник пойнт энд клик
NBA 2K13,спорт традиционный командная игра баскетбол сим
The Witcher 2: Assassins of Kings,ролевые игры экшен рпг
Tiger Woods PGA Tour 2005,спорт традиционный гольф сим
SSX Tricky,спорт альтернатива сноубординг
Oddworld: Abe's Exoddus,экшен платформер 2d
Plants vs. Zombies,стратегия в режиме реального времени фэнтези общий защита
Rocksmith 2014 Edition,экшен разнообразие ритмигра музыка
Burnout Paradise,вождение гонки аркада автомобиль
Guacamelee! Super Turbo Championship Edition,экшен платформер 2d
Doom 3,экшен шутер от первого лица научная фантастика аркада
GRID,вождение гонки симулятор гт уличный автомобиль
Stardew Valley,ролевые игры общий
Super Meat Boy,экшен платформер 2d
Middle-earth: Shadow of Mordor,фэнтези экшен приключение открытый мир
Halo 4,шутер научная фантастика экшен от первого лица аркада
Football Manager 2010,спорт традиционный командная игра футбол менеджмент
Final Fantasy XIV: Stormblood,ролевые игры массовый мультиплеер
Bloodborne: The Old Hunters,ролевые игры экшен рпг
XCOM 2,стратегия пошаговая общий тактика
Super Street Fighter II Turbo HD Remix,экшен файтинг 2d
Injustice 2,экшен файтинг 2d
SOCOM II: U.S. Navy SEALs,экшен шутер от третьего лица тактический современный
The Witness,разнообразие общий головоломка приключение 3d от первого лица
DOOM,научная фантастика экшен шутер от первого лица от третьего лица аркада
BlazBlue: Calamity Trigger,экшен файтинг 2d
Rallisport Challenge 2,вождение гонки ралли бездорожье
Oddworld: Abe's Oddysee - New 'n' Tasty,экшен платформер 2d
Battlefield 1,экшен общий шутер от первого лица тактический
Midnight Club 3: DUB Edition Remix,вождение гонки гт уличный
Dark Souls III,ролевые игры экшен рпг
Marvel's Spider-Man,экшен приключение открытый мир
Monkey Island 2 Special Edition: LeChuck's Revenge,приключение общий пойнт энд клик
Red Dead Redemption: Undead Nightmare Pack,экшен приключение исторический общий открытый мир
Pokemon White Version,ролевые игры консольный стиль рпг тренер
Dragon Quest IX: Sentinels of the Starry Skies,ролевые игры консольный стиль рпг японский стиль
Pokemon X,ролевые игры консольный стиль рпг тренер
Tom Clancy's Splinter Cell: Pandora Tomorrow,экшен приключение современный общий
Baldur's Gate: Dark Alliance,ролевые игры экшен рпг
Europa Universalis II,стратегия в режиме реального времени исторический общий
Tony Hawk's Pro Skater 3,спорт альтернатива скейтбординг
Metropolis Street Racer,вождение гонки гт уличный
Power Stone 2,экшен файтинг 3d
Burnout Paradise: The Ultimate Box,вождение гонки аркада автомобиль
FIFA Soccer 09,спорт традиционный командная игра футбол сим
Subnautica,приключение общий
Jeanne d'Arc,стратегия пошаговая исторический тактика
Street Fighter V: Arcade Edition,экшен файтинг 2d
Battlefield: Bad Company 2,экшен шутер от первого лица современный аркада
Guacamelee!,экшен платформер 2d
FIFA Soccer 09,спорт традиционный командная игра футбол сим
Steins;Gate,от первого лица современный приключение общий визуальный новелла
NCAA Football 06,спорт традиционный футбол сим
GRID,вождение гонки симулятор гт уличный автомобиль
Night in the Woods,фэнтези экшен приключение общий
DiRT 3,вождение гонки симулятор ралли бездорожье автомобиль
Critter Crunch,разнообразие головоломка общий
Crypt of the NecroDancer,экшен ролевые игры общий рпг
La-Mulana,экшен приключение платформер открытый мир 2d
Max Payne 3,экшен шутер от третьего лица современный аркада
Pokemon Sun,ролевые игры тренер
Sins of a Solar Empire,стратегия в режиме реального времени научная фантастика общий
The Walking Dead: Season Two Episode 5 - No Going Back,экшен приключение общий пойнт энд клик
Ikaruga,экшен шутер скроллинг шутимап вертикальный
Heavy Rain,приключение 3d современный от третьего лица
Super Monkey Ball 2,разнообразие вечеринка
MechWarrior 4: Vengeance,симулятор научная фантастика транспортное средство мех бой
Thief II: The Metal Age,экшен приключение фэнтези общий
Tactics Ogre: Let Us Cling Together,стратегия пошаговая фэнтези тактика
Tom Clancy's Splinter Cell Chaos Theory,экшен приключение современный
Diablo II: Lord of Destruction,ролевые игры экшен рпг
Monkey Island 2 Special Edition: LeChuck's Revenge,приключение общий пойнт энд клик
Half-Life 2: Episode One,экшен шутер от первого лица научная фантастика аркада
Devil May Cry 3: Special Edition,экшен приключение фэнтези
Mass Effect 2: Lair of the Shadow Broker,ролевые игры экшен рпг
DiRT 3,вождение гонки симулятор ралли бездорожье автомобиль
Syphon Filter: Dark Mirror,экшен шутер от третьего лица тактический современный
The Elder Scrolls III: Morrowind,ролевые игры от первого лица
The Swapper,экшен платформер 2d
Pokemon SoulSilver Version,ролевые игры консольный стиль рпг тренер
Castlevania: Harmony of Dissonance,экшен платформер 2d
Dragon Ball FighterZ,экшен файтинг 2d
Hitman 2: Silent Assassin,экшен приключение современный общий
Year Walk,разнообразие приключение общий 3d от первого лица современный
Batman: Arkham Knight,общий фэнтези экшен приключение открытый мир
Dead or Alive 3,экшен файтинг 3d
Jak II,экшен платформер 3d
Mario Kart 8 DLC Pack 1,вождение гонки аркада картинг автомобиль
Final Fantasy Tactics Advance,стратегия пошаговая фэнтези
NCAA Football 06,спорт традиционный футбол сим
Red Dead Redemption: Undead Nightmare Pack,экшен приключение исторический общий открытый мир
Max Payne 3,экшен шутер от третьего лица современный аркада
Okami HD,экшен приключение общий
Pokemon Moon,ролевые игры тренер
New Super Mario Bros. Wii,экшен платформер 2d
Elite Beat Agents,экшен разнообразие ритмигра музыка
Beyond Good & Evil,экшен приключение фэнтези
Paper Mario: The Thousand-Year Door,ролевые игры консольный стиль рпг
DJ Hero,экшен разнообразие ритмигра музыка
TowerFall Ascension,экшен общий
Tomb Raider,экшен приключение современный общий линейный
Hollow Knight,экшен приключение общий
Mario Kart: Double Dash!!,вождение гонки картинг
Rayman Legends,экшен платформер 2d
Battlefield 3: Armored Kill,экшен шутер от первого лица современный тактический аркада
World Series Baseball 2K3,спорт традиционный бейсбол сим
Metal Gear Solid 2: Substance,экшен приключение современный
Rallisport Challenge,вождение гонки ралли бездорожье
NHL 2002,спорт традиционный командная игра лед хоккей сим
Bangai-O,экшен шутер скроллинг
Icewind Dale,ролевые игры пк стиль рпг общий вестерн
Forza Motorsport 6,вождение гт уличный гонки симулятор автомобиль
Donkey Kong Country Returns,экшен приключение общий платформер 2d
Bully,экшен приключение современный
Call of Duty: Black Ops,экшен шутер от первого лица исторический аркада
The Messenger,экшен платформер 2d
The Witness,разнообразие головоломка общий приключение 3d от первого лица
Fire Emblem Fates: Conquest,фэнтези стратегия пошаговая тактика
TowerFall Ascension,экшен общий
Tearaway,общий приключение
Skylanders SuperChargers,экшен платформер 3d
Rocket League,спорт командная игра футбол аркада
Metal Gear Solid: Portable Ops,экшен приключение современный общий
Enter the Gungeon,экшен общий
3D Sonic the Hedgehog 2,экшен платформер 2d
Zack & Wiki: Quest for Barbaros' Treasure,приключение общий
The Walking Dead: Episode 3 - Long Road Ahead,разнообразие приключение общий сборник пойнт энд клик
MLB 13: The Show,спорт традиционный командная игра бейсбол сим
Brothers in Arms: Road to Hill 30,экшен шутер от первого лица исторический аркада
MechAssault,симулятор научная фантастика мех
NFL 2K2,спорт традиционный футбол сим
Kohan: Immortal Sovereigns,стратегия общий
FIFA 14,спорт традиционный командная игра футбол сим
Animal Crossing,разнообразие виртуальный жизнь
Hotline Miami,экшен приключение общий линейный
BlazBlue: Continuum Shift,экшен файтинг 2d
Fight Night Round 4,спорт традиционный индивидуальный бокс бой боевые искусства
SteamWorld Heist,стратегия пошаговая общий
The Legend of Zelda: Spirit Tracks,экшен приключение фэнтези открытый мир
Dead Space 2,экшен шутер от третьего лица научная фантастика аркада
DiRT 2,вождение гонки симулятор ралли бездорожье автомобиль
Raw Data,экшен шутер от первого лица аркада
Disgaea: Afternoon of Darkness,стратегия пошаговая фэнтези тактика
Wolfenstein II: The New Colossus,экшен шутер от первого лица аркада
Pokemon HeartGold Version,ролевые игры консольный стиль рпг тренер
NCAA Football 07,спорт традиционный футбол сим
Dragon Age: Origins,ролевые игры пк стиль рпг вестерн
Beyond Good & Evil,экшен приключение фэнтези
Diablo III: Reaper of Souls,экшен рпг ролевые игры
Little King's Story,стратегия в режиме реального времени разведениеконструирование фэнтези общий
Pro Evolution Soccer 2017,спорт командная игра футбол сим
Pro Evolution Soccer 2016,спорт командная игра футбол сим
Titanfall 2,экшен шутер от первого лица аркада
Bionic Commando Rearmed,экшен платформер 2d
Zero Escape: The Nonary Games,разнообразие сборник
NASCAR 2005: Chase for the Cup,вождение гонки склад машина
Metal Gear Solid 2: Substance,экшен приключение современный
NBA 2K3,спорт традиционный баскетбол сим
Shogun: Total War Warlord Edition,стратегия пошаговая в режиме реального времени исторический общий
Serious Sam: The First Encounter,экшен шутер от первого лица научная фантастика аркада
Grand Prix 3,вождение гонки симулятор формула один автомобиль
MVP Baseball 2005,спорт традиционный бейсбол сим
Rayman Origins,экшен приключение общий платформер фэнтези 2d
MLB 12: The Show,спорт традиционный командная игра бейсбол сим
Pokemon Black Version,ролевые игры консольный стиль рпг тренер
Axiom Verge,экшен приключение общий
Call of Duty: United Offensive,экшен шутер от первого лица от третьего лица исторический тактический аркада
Odin Sphere Leifthrasir,ролевые игры экшен рпг
Wipeout HD,вождение гонки аркада футуристический
Divinity: Original Sin,экшен рпг ролевые игры вестерн
Company of Heroes: Opposing Fronts,стратегия в режиме реального времени военный общий
3D Out Run,вождение гонки аркада автомобиль
Destiny 2,экшен шутер от первого лица аркада
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,экшен разнообразие ритмигра музыка
Owlboy,экшен приключение общий
Psychonauts,экшен платформер 3d
DiRT 2,вождение гонки симулятор ралли бездорожье автомобиль
Gears of War,экшен шутер от третьего лица научная фантастика аркада
Rayman Origins,экшен приключение общий платформер фэнтези 2d
Sin & Punishment: Star Successor,экшен общий шутер рельсы
Forza Horizon 3: Blizzard Mountain,гонки симулятор автомобиль
Out of the Park Baseball 4,спорт традиционный бейсбол сим
Super Monkey Ball,разнообразие вечеринка
Velocity,экшен шутер скроллинг шутимап вертикальный
Iconoclasts,экшен приключение открытый мир
Pinball FX 2: Star Wars Pinball,экшен разнообразие игровой зал пинбол
Spelunky,экшен платформер 2d
Dark Souls II: Scholar of the First Sin,ролевые игры экшен рпг
Resistance 2,экшен шутер от первого лица научная фантастика современный аркада
INSIDE,экшен платформер 2d
flower,разнообразие общий
Europa Universalis IV,стратегия в режиме реального времени исторический общий
Diablo III,ролевые игры экшен рпг
Sonic Mania Plus,экшен платформер 2d
XCOM 2,стратегия пошаговая общий тактика
NBA 2K16,экшен общий спорт командная игра баскетбол сим
Pikmin 3,стратегия в режиме реального времени фэнтези общий
NHL 2004,спорт традиционный командная игра лед хоккей сим
SSX Tricky,спорт альтернатива сноубординг
Zeus: Master of Olympus,стратегия общий менеджмент управление
Driver,вождение миссии
Fight Night Round 2,спорт традиционный бокс
Dark Souls II: Crown of the Ivory King,ролевые игры экшен рпг
Velocity Ultra,экшен общий шутер скроллинг шутимап вертикальный
Puzzle Quest: Challenge of the Warlords,разнообразие головоломка соответствие
Total War: WARHAMMER II,стратегия в режиме реального времени тактика
Forza Horizon 3: Hot Wheels,гонки симулятор автомобиль
Hex: Shards of Fate,разнообразие карты сражение стратегия пошаговая
World of Warcraft: Warlords of Draenor,ролевые игры массовый мультиплеер онлайн фэнтези
LittleBigPlanet,экшен платформер 3d 2d
PixelJunk Shooter,экшен шутер статичный шутимап топдаун
"Warhammer 40,000: Dawn of War - Dark Crusade",стратегия в режиме реального времени научная фантастика общий
Dark Cloud 2,ролевые игры экшен рпг
GRID,вождение гонки симулятор гт уличный автомобиль
Tom Clancy's Splinter Cell Pandora Tomorrow,экшен приключение современный
Iconoclasts,экшен приключение открытый мир
Kingdom Hearts II,ролевые игры экшен рпг
Fallout 4,общий ролевые игры вестерн
NBA 2K14,спорт традиционный командная игра баскетбол сим
Bayonetta,экшен приключение битимап фэнтези линейный
Ratchet & Clank Future: A Crack in Time,экшен платформер 3d
ESPN NBA Basketball,спорт традиционный баскетбол сим
MotoGP 2,вождение гонки мотоцикл уличный
Guilty Gear X2,экшен файтинг 2d
Sonic Advance,экшен платформер 2d
Half-Life,экшен шутер от первого лица научная фантастика
Commandos 2: Men of Courage,стратегия в режиме реального времени военный общий
Spider-Man,экшен приключение научная фантастика
Tenchu: Stealth Assassins,экшен приключение фэнтези
Shin Megami Tensei: Persona 3,ролевые игры консольный стиль рпг
PixelJunk Monsters Deluxe,стратегия в режиме реального времени фэнтези защита
Forza Horizon 3,гонки симулятор автомобиль
Tales From The Borderlands: Episode 5 - The Vault of the Traveler,приключение общий
Unreal Tournament III,экшен шутер от первого лица научная фантастика аркада
LostWinds: Winter of the Melodias,экшен платформер 3d
Thumper,экшен ритмигра музыка
Bastion,экшен ролевые игры общий рпг
The Witness,приключение 3d от первого лица
Gone Home,научная фантастика приключение 3d от первого лица
Pac-Man Championship Edition DX +,экшен общий аркада
Kirby's Epic Yarn,приключение общий экшен платформер 2d
Bomberman Blast,разнообразие головоломка экшен общий
DJ Hero 2,экшен разнообразие ритмигра музыка
Uncharted: The Nathan Drake Collection,разнообразие экшен приключение общий сборник
The Elder Scrolls IV: Shivering Isles,ролевые игры от первого лица вестерн
Rocket League,спорт командная игра футбол аркада
Supreme Commander,стратегия в режиме реального времени научная фантастика общий команда
Tales from the Borderlands: A Telltale Game Series,приключение общий
Total War: Shogun 2 - Fall of the Samurai,стратегия пошаговая исторический общий
Startopia,стратегия общий менеджмент управление
NBA Live 2001,спорт традиционный баскетбол сим
Enemy Engaged: RAH-66 Comanche Versus Ka-52 Hokum,симулятор полет вертолет гражданский
Silent Hill,экшен приключение хоррор
Fallout 2,ролевые игры от первого лица пк стиль рпг вестерн
Kirby: Canvas Curse,экшен платформер 2d
Burnout Legends,вождение гонки аркада автомобиль
Final Fantasy XIV: Heavensward,массовый мультиплеер онлайн фэнтези ролевые игры
Football Manager 2013,спорт традиционный командная игра футбол менеджмент
Out of the Park Baseball 14,спорт традиционный бейсбол менеджмент
ESPN NHL 2K5,спорт традиционный лед хоккей сим
DiRT Rally,гонки симулятор автомобиль
The Witcher: Enhanced Edition,ролевые игры экшен рпг
Crypt of the NecroDancer: Nintendo Switch Edition,ролевые игры экшен рпг
UFC Undisputed 3,экшен спорт файтинг индивидуальный реслинг бой
Borderlands: The Secret Armory of General Knoxx,экшен шутер от первого лица научная фантастика аркада
Call of Duty 2,экшен шутер от первого лица исторический аркада
F1 2017,гонки симулятор автомобиль
Astebreed,экшен шутер скроллинг шутимап вертикальный горизонтальный
Winning Eleven: Pro Evolution Soccer 2007,спорт традиционный футбол сим
NASCAR 2005: Chase for the Cup,вождение гонки склад машина
Onimusha: Warlords,экшен приключение фэнтези
Ground Control,стратегия в режиме реального времени научная фантастика общий
Cuphead,экшен платформер 2d
Velocity 2X,экшен общий шутер скроллинг шутимап вертикальный
Killer Instinct Season 3,экшен файтинг 2d
Valkyria Chronicles,ролевые игры стратегия экшен рпг пошаговая общий исторический тактика
Pillars of Eternity: Complete Edition,ролевые игры вестерн
Shovel Knight,экшен платформер 2d
Resistance: Fall of Man,экшен шутер от первого лица научная фантастика современный аркада
Boom Blox Bash Party,разнообразие головоломка общий
Stardew Valley,ролевые игры общий
Rise of the Tomb Raider,экшен приключение общий линейный
NBA 2K14,сим спорт традиционный командная игра баскетбол
Total War: WARHAMMER,стратегия пошаговая общий
Might & Magic: Clash of Heroes,ролевые игры общий
Madden NFL 06,спорт традиционный футбол сим
BlazBlue: Calamity Trigger,экшен файтинг 2d
Resident Evil 5,экшен приключение хоррор выживание
Saints Row IV,экшен приключение современный открытый мир
Need for Speed: Most Wanted U,вождение гонки симулятор гт уличный автомобиль
Unavowed,приключение общий
DmC: Devil May Cry Definitive Edition,фэнтези экшен приключение общий линейный
Mercenaries,экшен приключение современный
Final Fantasy X / X-2 HD Remaster,разнообразие сборник
Black Mesa,экшен шутер от первого лица научная фантастика аркада
Guitar Hero: Metallica,экшен разнообразие ритмигра музыка
EverQuest: Omens of War,ролевые игры массовый мультиплеер онлайн фэнтези
Golden Sun: The Lost Age,ролевые игры консольный стиль рпг
Steel Beasts,симулятор танк транспортное средство бой
Test Drive V-Rally,вождение гонки ралли бездорожье
Total Annihilation,стратегия в режиме реального времени научная фантастика общий
Monster Hunter 4 Ultimate,ролевые игры экшен рпг
Need for Speed: Hot Pursuit,вождение гонки аркада автомобиль
FIFA Soccer 13,спорт традиционный командная игра футбол сим
Patapon,экшен платформер ритмигра общий 2d музыка
Sid Meier's Civilization IV: Beyond the Sword,стратегия пошаговая исторический 4x
Sky Force Reloaded,экшен шутер шутимап вертикальный
Dragon Age: Origins,ролевые игры пк стиль рпг вестерн
The Sims 3,симулятор разнообразие виртуальный жизнь
NBA 2K16,экшен общий спорт командная игра баскетбол сим
Freedom Force vs The 3rd Reich,ролевые игры пк стиль рпг вестерн
Fluidity,экшен платформер 2d 3d
Thimbleweed Park,приключение пойнт энд клик
Titanfall,шутер научная фантастика разнообразие общий экшен от первого лица аркада
Donkey Kong Country: Tropical Freeze,экшен платформер 2d
Picross 3D: Round 2,головоломка логика
Tomb Raider,экшен приключение современный общий линейный
The Binding of Isaac: Rebirth,хоррор экшен приключение шутер выживание шутимап топдаун
Tribes: Ascend,экшен шутер от первого лица научная фантастика аркада
Titanfall,шутер научная фантастика разнообразие общий экшен от первого лица аркада
Borderlands 2: Tiny Tina's Assault on Dragon Keep,экшен шутер от первого лица научная фантастика аркада
Rayman Origins,экшен платформер 2d
Tony Hawk's Underground,спорт альтернатива скейтбординг
FIFA Soccer 2003,спорт традиционный футбол сим
Lunar 2: Eternal Blue Complete,ролевые игры консольный стиль рпг
Alundra,ролевые игры экшен рпг
Minecraft: Switch Edition,экшен приключение песочница
Gears of War 4,экшен шутер от третьего лица аркада
Shantae and the Pirate's Curse,экшен платформер 2d
Guilty Gear Xrd -REVELATOR-,экшен файтинг 2d
Pinball FX 2: Marvel Pinball,экшен разнообразие игровой зал пинбол
God of War: Ghost of Sparta,экшен приключение фэнтези линейный
Trials HD,вождение гонки симулятор мотоцикл автомобиль уличный
Her Story,приключение визуальный новелла
Diablo III: Ultimate Evil Edition,ролевые игры экшен рпг
Punch-Out!!,спорт традиционный индивидуальный бокс бой боевые искусства
ESPN College Hoops 2K5,спорт традиционный баскетбол сим
Suikoden III,ролевые игры консольный стиль рпг
Radiant Silvergun,экшен шутер скроллинг шутимап вертикальный
Starcraft II: Heart of the Swarm,стратегия в режиме реального времени научная фантастика команда
Dishonored 2,экшен приключение общий
Resident Evil 7: biohazard,экшен приключение выживание
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,экшен разнообразие ритмигра музыка
Mass Effect 2: Lair of the Shadow Broker,ролевые игры экшен рпг
LEGO Star Wars II: The Original Trilogy,экшен приключение научная фантастика общий
Guilty Gear X2 #Reload,экшен файтинг 2d
Midnight Club II,вождение гонки гт уличный
Dungeon Siege,ролевые игры экшен рпг
Star Wars: Knights of the Old Republic II: The Sith Lords,ролевые игры от третьего лица
Crysis 2,экшен шутер от первого лица научная фантастика аркада
Crashmo,разнообразие головоломка экшен
Mario & Luigi: Partners in Time,ролевые игры консольный стиль рпг японский стиль
Beyond Good & Evil,экшен приключение фэнтези
Mortal Kombat,экшен файтинг 2d
Call of Duty: Modern Warfare 2,экшен шутер от первого лица современный аркада
Guitar Hero World Tour,экшен разнообразие ритмигра музыка
Brothers: A Tale of Two Sons,экшен приключение фэнтези линейный
SoulCalibur III,экшен файтинг 3d
NHL 12,спорт традиционный командная игра лед хоккей сим
NCAA Football 11,спорт традиционный командная игра футбол сим
Street Fighter III: Third Strike Online Edition,экшен файтинг 2d
Final Fantasy XII: The Zodiac Age,ролевые игры японский стиль
The Secret of Monkey Island: Special Edition,приключение общий пойнт энд клик
Max Payne 2: The Fall of Max Payne,экшен шутер от третьего лица современный аркада
Homeworld Remastered Collection,разнообразие сборник
Galactic Civilizations II: Dread Lords,стратегия пошаговая научная фантастика 4x
Planet Puzzle League,разнообразие головоломка общий
Wolfenstein II: The New Colossus,экшен шутер от первого лица аркада
Animal Crossing: Wild World,симулятор разнообразие виртуальный жизнь
Tomb Raider,экшен приключение современный общий линейный
DmC: Devil May Cry,экшен общий приключение фэнтези линейный
Medal of Honor Underground,экшен шутер от первого лица исторический
Dino Crisis 2,экшен приключение научная фантастика
Star Trek: Voyager Elite Force,экшен шутер от первого лица научная фантастика аркада
Need for Speed: High Stakes,вождение гонки аркада
Dragon Ball FighterZ,экшен файтинг 2d
Street Fighter III: Third Strike Online Edition,экшен файтинг 2d
Professor Layton and the Unwound Future,разнообразие головоломка общий
Assassin's Creed IV: Black Flag,экшен приключение исторический открытый мир
We Love Katamari,экшен общий
Worldwide Soccer Manager 2008,спорт традиционный командная игра футбол менеджмент
Dance Central 2,экшен разнообразие ритмигра танцы
Sly Cooper and the Thievius Raccoonus,экшен платформер 3d
IL-2 Sturmovik: Forgotten Battles,симулятор полет вторая мировая война бой
Geometry Wars: Retro Evolved,экшен шутер статичный шутимап топдаун
Fight Night Round 3,спорт традиционный индивидуальный бокс бой боевые искусства
F1 2016,гонки симулятор автомобиль
Amplitude,разнообразие ритмигра музыка
Bastion,ролевые игры экшен рпг
DiRT 3,вождение гонки симулятор ралли бездорожье автомобиль
Minecraft: PlayStation 3 Edition,фэнтези экшен приключение 3d песочница от первого лица
Sonic Mania,экшен платформер 2d
The Legend of Zelda: Four Swords Adventures,экшен приключение фэнтези
Joe Danger,вождение гонки аркада автомобиль
Tales of Symphonia,ролевые игры консольный стиль рпг
Fight Night Champion,спорт традиционный индивидуальный бокс бой боевые искусства
NBA Live 2004,спорт традиционный баскетбол сим
Colin McRae Rally 3,вождение гонки ралли бездорожье
Tom Clancy's Rainbow Six 3,экшен шутер от первого лица тактический современный
Colin McRae Rally 3,вождение гонки ралли бездорожье
Burnout 2: Point of Impact,вождение гонки аркада
Unreal Tournament 2003,экшен шутер от первого лица научная фантастика аркада
Age of Wonders II: The Wizard's Throne,стратегия пошаговая фэнтези общий
Daytona USA,вождение гонки аркада
Links 2001,спорт традиционный индивидуальный гольф сим
EverQuest: The Ruins of Kunark,ролевые игры массовый мультиплеер онлайн фэнтези
Full Throttle,приключение общий
Katamari Damacy,экшен общий
The Lord of the Rings Online: Shadows of Angmar,ролевые игры массовый мультиплеер онлайн фэнтези
Grand Theft Auto: Vice City Stories,экшен приключение современный открытый мир
Pony Island,головоломка общий
Tomb Raider: Definitive Edition,современный экшен приключение общий линейный
"Warhammer 40,000: Dawn of War",стратегия в режиме реального времени научная фантастика общий
Diablo III,ролевые игры экшен рпг
Tom Clancy's Ghost Recon Advanced Warfighter 2,экшен шутер от первого лица тактический современный
Tales From Space: Mutant Blobs Attack,экшен платформер 2d
Max Payne 3,экшен шутер от третьего лица современный аркада
Skate,спорт альтернатива индивидуальный скейтбординг скейт скейтборд
Warhammer Online: Age of Reckoning,ролевые игры массовый мультиплеер онлайн фэнтези
Resident Evil 7: biohazard,экшен приключение выживание
NHL 12,спорт традиционный командная игра лед хоккей сим
Rise of the Tomb Raider,фэнтези экшен приключение общий линейный
Dead Space,экшен шутер от третьего лица научная фантастика аркада
PlayerUnknown's Battlegrounds,экшен шутер от первого лица тактический
Advance Wars: Days of Ruin,стратегия пошаговая современный тактика
The Elder Scrolls IV - Knights of the Nine,ролевые игры от первого лица вестерн
Rocksmith 2014 Edition,экшен разнообразие ритмигра музыка
Bionic Commando Rearmed,экшен платформер 2d
DJ Hero,экшен разнообразие ритмигра музыка
Forza Horizon 2,вождение гонки симулятор гт уличный автомобиль
FIFA 14,лед хоккей сим спорт традиционный командная игра футбол
Observer,приключение 3d от первого лица
ZEN Pinball 2,экшен разнообразие игровой зал пинбол
Moto Racer Advance,вождение гонки мотоцикл уличный
Command & Conquer: Red Alert 2 - Yuri's Revenge,стратегия в режиме реального времени научная фантастика команда
Europa Universalis,стратегия общий
Escape from Monkey Island,приключение 3d фэнтези от третьего лица
SteamWorld Heist,научная фантастика стратегия пошаговая общий
Robo Recall,экшен общий
IL-2 Sturmovik: 1946,симулятор полет вторая мировая война бой
XCOM: Enemy Within,научная фантастика стратегия пошаговая общий
Final Fantasy XIV: Heavensward,массовый мультиплеер онлайн фэнтези ролевые игры
Bayonetta,экшен приключение фэнтези битимап линейный
Dance Central 3,танцы экшен разнообразие ритмигра
Shatter,экшен общий
Final Fantasy XIV Online: A Realm Reborn,фэнтези ролевые игры массовый мультиплеер онлайн
Titanfall 2,экшен шутер от первого лица аркада
Luigi's Mansion: Dark Moon,экшен приключение фэнтези общий
DJ Hero 2,экшен разнообразие ритмигра музыка
Guitar Hero III: Legends of Rock,экшен разнообразие ритмигра музыка
Psychonauts,экшен платформер 3d
Guitar Hero 5,экшен разнообразие ритмигра музыка
Battlefield 3: Back to Karkand,экшен шутер от первого лица современный тактический аркада
F-Zero: Maximum Velocity,вождение гонки футуристический
West of Loathing,ролевые игры общий
Dying Light: The Following,экшен приключение выживание
Destiny: The Taken King,экшен шутер от первого лица аркада
Heroes of the Storm,экшен стратегия в режиме реального времени общий моба
DiRT 4,гонки симулятор автомобиль
Code:Realize - Guardian of Rebirth,приключение визуальный новелла
Tom Clancy's Rainbow Six Vegas,экшен шутер от первого лица тактический современный
Civilization III: Conquests,стратегия пошаговая исторический 4x
Turok 2: Seeds of Evil,экшен шутер от первого лица научная фантастика
Path of Exile,экшен рпг ролевые игры
Battlefield: Bad Company 2 Vietnam,экшен шутер от первого лица современный аркада
Guilty Gear Xrd: Rev 2,экшен файтинг 2d
OlliOlli2: Welcome to Olliwood,спорт альтернатива индивидуальный скейтбординг скейт скейтборд
Assassin's Creed II,экшен приключение исторический открытый мир
Forza Motorsport 7,гонки симулятор автомобиль
Lovers in a Dangerous Spacetime,экшен шутер шутимап горизонтальный
NHL 08,спорт традиционный командная игра лед хоккей сим
Mortal Kombat X,экшен файтинг 2d 3d
Gunman Clive HD Collection,разнообразие сборник
Persona 4 Arena,экшен файтинг 2d
Viewtiful Joe 2,экшен битимап
Day of the Tentacle Remastered,приключение пойнт энд клик
The Elder Scrolls IV: Shivering Isles,ролевые игры от первого лица вестерн
Madden NFL 06,спорт традиционный футбол сим
Xenoblade Chronicles 3D,ролевые игры экшен рпг
Fire Emblem Fates: Birthright,стратегия пошаговая тактика
DiRT Rally,гонки симулятор автомобиль
Sonic Mania,экшен платформер 2d
Rocket League,спорт гонки командная игра футбол футуристический аркада
The Legend of Zelda: Twilight Princess HD,экшен приключение общий открытый мир
Dark Souls Remastered,ролевые игры экшен рпг
Injustice 2,экшен файтинг 2d
The Legend of Heroes: Trails of Cold Steel,ролевые игры японский стиль
Resogun: Heroes,экшен шутер скроллинг шутимап горизонтальный
Tetris Party,разнообразие головоломка укладкаголоволомка
ESPN College Hoops 2K5,спорт традиционный баскетбол сим
Allegiance,симулятор научная фантастика космос маленький космический корабль бой
Monster Hunter Generations,ролевые игры экшен рпг
Radiant Historia,ролевые игры общий японский стиль
Shantae: Risky's Revenge,экшен платформер 2d
Castlevania: Portrait of Ruin,экшен ролевые игры платформер рпг 2d
Night in the Woods,экшен приключение общий
Tom Clancy's Splinter Cell: Conviction,экшен приключение современный общий
Aggressive Inline,спорт альтернатива скейтинг
The Talos Principle,научная фантастика приключение 3d от первого лица
Cities: Skylines,город строительство современный стратегия менеджмент управление
DiRT Rally,гонки симулятор автомобиль
Project Gotham Racing 4,вождение гонки симулятор гт уличный автомобиль
Metroid Prime: Hunters,экшен шутер от первого лица научная фантастика аркада
Thumper,экшен ритмигра музыка
Crypt of the NecroDancer,ролевые игры экшен рпг
Metroid: Samus Returns,экшен приключение открытый мир
OlliOlli2: Welcome to Olliwood,спорт альтернатива индивидуальный скейтбординг скейт скейтборд
