ID,Title,Year,Publisher,Genre,Platform,Metascore,Avg_Userscore,No_Players,Description
1363,NHL 2004,2003,EABlackBox,Sports;Traditional;Ice Hockey;Sim,Xbox,85,6.5,1-4 ,"It's been called the fastest sport on Earth--and the faster the players, the tougher the contact. NHL 2004 brings professional hockey to life like never before, with crisp passes, searing slap-shots, and a variety of new ways to check your opponent to regain control of the puck. NHL 2004 is the hockey fan's dream come true, with the addition of international leagues, Bruise Control fighting system, online play, and a Dynasty Mode that lets you build a powerhouse.'."
1364,Hitman 2: Silent Assassin,2002,IoInteractive,Action Adventure;Modern,PlayStation 2,85,7.8,1 Player,"Enter the realm of a retired assassin, forced back into action by treason. You may be a hired killer but you still have a sense of loyalty and justice. Visit the dark recesses of a world corrupted by crime, greed, degradation and dishonor. And a past that catches up with you. Trust no one - if the price is right, the finger of your most trusted ally will be on the trigger. Your targets may hide in the most remote areas of the planet, but their destruction is never prevented - only postponed. Learn your trade - master your tools - overcome your obstacles - outsmart your enemies - eliminate your targets. Remember: rash decisions bleed consequences. Know when to strike instantly, know when to take your time. Chance favors the prepared. Failure is not an option. [Eidos Interactive]"
1365,Falcon 4.0,1998,"Atari,MicroProse",Simulation;Flight;Modern Jet;Modern Jet;Combat,PC,85,8.0,1-2 ,"Falcon 4.0 is an extremely detailed Simulation integrating a fully dynamic, realtime Air, land, and sea war in which you take part as an F-16 pilot. Running on any OS platform capable of supporting Directx 5.0 and above. Falcon 4.0 not only simulates a fantastic and versatile fighter, but also a very versatile product. With 4 years of hard work behind it, it is the ultimate Simulation experience for all enthusiasts. [Falcon 4.0 HQ]"
1366,Tom Clancy's Rainbow Six,1998,RedStormEntertainment,Action;Shooter;Shooter;First-Person;Tactical;Modern;Modern,PC,85,8.4,1-8 ,"The most revolutionary action/strategy game of its kind. Nothing comes closer to offering an exciting combination of strategy, team-building, realistic three-dimensional graphics and true-to-life special forces action. The ultimate goal is to save yourself and the world from deadly terrorists. You must successfully complete 17 unique missions. If you die, the game isn't over. The World is. [Red Storm Entertainment]"
1367,Oddworld: Abe's Oddysee,1997,OddworldInhabitants,Action;Platformer;2D,PlayStation,85,8.9,1-2 ,"In a lush of diabolical danger where everyone wants to eat you, you're the skinny guy with no weapons. Run, jump, hide, scramble and talk your way past the ugliest bunch of carnivorous crustaceans ever created. Unlock Abe's special powers then figure out your foes, and you might save your race. Don't, and you're dinner! Enter Oddworld's surreal, sensory overload of pure gaming and claim your destiny."
1368,Madden NFL 2005,2004,BudCat,Sports;Traditional;Team;Football;Sim;Sim,PC,85,6.4,2  Online,"Force the action on defense in Madden NFL 2005. New defensive tools allow you to make more plays and be in on all of the action. The all-new Hit Stick lets you lay the big hit to turn the momentum of the game in your favor. Modify pre-snap assignments, including double teams and player-specific match ups, for any defensive player on the field. With the new Storyline Central, you get the inside scoop around the league from radio host Tony Bruno, along with local and national newspapers, to help you make critical franchise decisions. New Hit Stick ? Change the momentum of a game by using the right analog stick to make a huge hit, force a turnover, and send the crowd into a frenzy. Time it just right or you'll get burned for a big play. Enhanced Franchise Mode ? Players now react to everything that happens in the franchise?reward a hard-working player by naming him team captain or trade away unhappy players. The new game-by-game progression system rewards players for their performance during the season. Your team's crowd is now customizable with new Create-a-Fan. Be on the lookout for team-specific super fans via all-new 3D fan scenes. New EA SPORTS Online ? Take on the best Madden players in quick tournaments, or compete in a mini-game of Rushing Attack. Improved EA SPORTS Fair Play keeps the playing field level. [Electronic Arts]"
1369,Legend of Grimrock II,2014,AlmostHuman,Role-Playing;First-Person;Western-Style,PC,85,8.1,not specified,"Legend of Grimrock 2 is a dungeon crawling RPG with a modern execution but an old-school heart. A gaggle of 4 prisoners have shipwrecked on the secluded Isle of Nex. The island is chock full of ancient crumbled ruins, mysterious shrines and a vast underground network of dungeons."
1370,Madden NFL 09,2008,EATiburon,Sports;Traditional;Team;Football;Sim;Sim,PlayStation 3,85,4.4,4  Online,"For passionate Madden NFL fans, this year's iteration promises to take authenticity and depth of gameplay to an entirely new level with more than 85 new features and enhancements, including the all-new Virtual Trainer tutorial mode. Utilizing a holographic environment, this mode teaches gamers simple concepts about playing football and how to use the controls in quick, fun and stylized drills. In Madden NFL 09, the game engine is continually assessing the player's performance and adapst a custom experience to every type of gamer, from newcomer to the veteran Madden NFL player. Madden NFL 09 also features a network-inspired broadcast presentation. Players benefit from the authentic football knowledge of an in-booth play-by-play and color commentary team featuring Cris Collinsworth and Tom Hammond. In addition, numerous graphical enhancements have been made, including realistic weather and grass, sleeker player models and exterior stadium views. Madden NFL 09 gives gamers the ability to create online leagues. Avid Madden NFL fans can now take their rivalries online and compete in leagues with up to 32 teams. Online league play features in-depth stat tracking, player trades and a flexible scheduling option. [Electronic Arts]"
1371,Guitar Hero III: Legends of Rock,2007,NeversoftEntertainment,Action;Miscellaneous;Rhythm;Music;Music,Xbox 360,85,8.0,1-2 ,"Fire up the fretboard, crank up the amp and get ready to rock like never before. Guitar Hero III: Legends of Rock drops you into the spotlight of the largest and most legendary rock concert ever. The star-studded soundtrack includes master tracks by such legendary artists as Guns N’ Roses, The Rolling Stones, Beastie Boys, Muse and Pearl Jam, with added songs as made legendary by Kiss, Alice Cooper and Heart. Now drop that air guitar, tune your exclusive new Les Paul Guitar Controller and shred the night away with Guitar Hero III: Legends of Rock. [Activision]"
1372,The Sly Collection,2010,SanzaruGames,Action Adventure;Modern;Miscellaneous;Compilation;Compilation,PlayStation 3,85,8.8,not specified,"Developed exclusively for the PS3, The Sly Collection (Also known as ""The Sly Trilogy"") features three PlayStation 2 action-packed classic hits (Sly Cooper and the Thievius Racconus, Sly 2: Band of Thieves and Sly 3: Honor Among Thieves) fully remastered in high definition and delivered on a single Blu-Ray Disc. In addition to crisp picture quality and stunning visual graphics, The Sly Collection contains extra features and content, such as Sly 3: Honor Among Thieves in 3-D and all-new PlayStation Move mini-games that showcase the latest technology for a fun and immersive experience on the PS3 system."
1373,Tatsunoko vs. Capcom: Ultimate All-Stars,2010,Eighting,Action;Fighting;Fighting;2D;2D,Wii,85,8.7,not specified,"Capcom's popular and critically acclaimed ‘VS’ fighting series is getting an all new next-generation introduction. Tatsunoko vs. Capcom pits Capcom’s iconic characters against Tatsunoko Productions anime superheroes. This clash of heroes face off in two-on-two battles for the ultimate 2D tag-team battle. Originally released in Japanese arcades in the Fall of 2008, the original Tatsunoko vs. Capcom moved to the Wii console on December 11, 2008. This fighter blends these two rich universes by taking Capcom characters like Ryu from Street Fighter, Morrigan from Darkstalkers and the giant PTX-40A from Lost Planet and putting them against Tatsunoko fan-favorite characters from Gatchaman, Hurricane Polymar, Casshern and more. It’s a battler oyale that delivers match-ups that only exist in fans wildest dreams! Unlike the more well-known six-button layout that the Street Fighter franchise pioneered, the VS line features a simplified four button system: Weak, Medium, Strong and Assist for the tag-team option of. The Assist feature adds another compelling element found Capcom’s other VS series: allowing players to switch their character on the fly or call for help from their tag-team partner, allowing for spectacular super moves (Hyper Variable Combination). Successful execution of the Assist feature can turn the tide of battle on a dime. Historically the VS series excels in integrating the tag-team options by including customized moves like Variable Assist, Snapback, and the previously mentioned Hyper Variable combination that lets both characters on one team perform their Hyper attack. TvC enhances the above gameplay with new mechanics, including the Variable Aerial Rave that allows characters to be switched in the middle of an Aerial rave. More moves include the offensive Assault and defensive maneuver Mega Crash. Another new gameplay mechanic, titled Baroque, illuminates the character in a rainbow of colors, cancels the current attack and extends combos and damage. Featuring a robust line-up of characters, the console version added four mini-games and optional control schemes. [Capcom]"
1374,"Sam & Max Episode 205: What's New, Beelzebub?",2008,TelltaleGames,Adventure;General;3D;Point-and-Click;Third-Person,PC,85,7.9,1 Player,"Judgment day is at hand, and it's time for a showdown with the guy downstairs to bargain for Bosco's soul. But in the corporate wasteland known as Hell, not even the Freelance Police are safe from eternal damnation. Can Sam & Max fight free from Satan's grasp, or have they reached the end of the line? [Telltale Games]"
1375,Daxter,2006,ReadyatDawn,Action;Platformer;Platformer;3D;3D,PSP,85,8.5,24  Online,"Daxter is centered around the world of the lovable orange ottsel made popular in the Jak and Daxter franchise. The story unfolds as Daxter searches for Jak, who was imprisoned during the events that led to the start of ""Jak II."" Daxter, now on his own in an unfamiliar place, quickly realizes that being small and furry won't help his chances of survival. To help stamp out a mysterious metalbug infestation, Daxter takes on a job as a pest exterminator, enabling him to explore parts of Haven City in an effort to collect the clues that will lead him to Jak. Daxter allows gamers to play from his perspective offering a distinctive set of moves with agile abilities that allows players to climb walls, creep up on enemies, fit in small places and maneuver vehicles. Taking a job as a pest exterminator, to fight an ongoing invasion of metal-bugs, Daxter comes equip with gadgets to rid the city of these metal nuisances. Get close up and personal by using your flimsy bug swatter to squash an army of attacking insects or your spray gun to hover around a variety of environments while picking up various upgrades. [SCEA]"
1376,Dragon Age: Inquisition,2014,BioWare,PC-style RPG;Role-Playing;General;Action RPG;Western-Style,PC,85,5.9,Up to 4 ,"Select and lead a group of characters into harrowing battles against a myriad of enemies – from earth-shattering High Dragons to demonic forces from the otherworld of the Fade. Go toe-to-toe in visceral, heroic combat as your acolytes engage at your side, or switch to tactical view to coordinate lethal offensives using the combined might of your party. Observe the tangible, visible results of your journey through a living world – build structures, customize outposts, and change the landscape itself as environments are re-honed in the wake of your Inquisition. Helm a party chosen from nine unique, fully-realized characters – each of whom react to your actions and choices differently, crafting complex relationships both with you and with each other. Create your own character from multiple races, customize their appearance, and amalgamate their powers and abilities as the game progresses. Enhanced customization options allow you to pick everything from the color of your follower’s boots to the features of your Inquisition stronghold. Become a change agent in a time of uncertainty and upheaval. Shape the course of your empires, bring war or peace to factions in conflict, and drive the ultimate fate of the Inquisition. Will you bring an end to the cataclysmic anarchy gripping the Dragon Age? [Electronic Arts]"
1377,Tales from the Borderlands: A Telltale Game Series,2015,TelltaleGames,Adventure;General,PC,85,8.5,not specified,"Like all good tales, there’s more than one side to a story. Especially one about a Vault key, the Hyperion Corporation, bandits, loot, gangsters, Vault Hunters, secret Atlas tech, explosions, getaways, extortion, betrayal, and mayhem. Set after the events seen in Borderlands 2, Tales from the Borderlands is about Rhys, a Hyperion company man looking to become the next Handsome Jack, and it’s also about Fiona, a Pandoran con artist out to score the biggest of all swindles. Lured into danger by a Vault key and all it promises, the unlikely duo are thrown together with a common goal and a huge amount of mistrust. Who is telling the truth, and why is it important That’s up to you to decide. You are Rhys…and you are also Fiona, because like every tale worth telling, there are two…oh, you read that part already? Well, it’s important to remember that there *are* two sides to every story, and you my friend, you will tell this tale, or…tales, through the choices that you make. Your every decision as both Rhys and Fiona will affect the people and world around you: this is a game where YOU are the final author in a brand new Borderlands story set on the unforgiving world of Pandora. [TellTale Games]"
1378,Hearthstone: Whispers of the Old Gods,2016,BlizzardEntertainment,Strategy;Turn-Based;Card Battle,PC,85,5.4,not specified,None
1379,MLB 08: The Show,2008,SCEASanDiegoStudios,Sports;Traditional;Team;Baseball;Sim;Sim,PlayStation 3,85,8.7,2  Online,"MLB 08 The Show promises to provide fans with the most realistic baseball experience to date with innovations such as a more immersive Road to The Show mode, enabling gamers to play both offense and defense from the created player’s perspective. Providing players with some additional performance incentives, the MLB franchise introduces the new Progressive Batting Performance feature, which both rewards players for superior performance and penalize them for hitting slumps. Specific to each individual batter, players are rewarded with slight contact bonuses, or punished with slight decreases in contact, based on how that batter that performs beyond his ""natural ability"" while under user control. Adding to the online feature set, which includes customizable Online League Play with up to 30 teams, scrolling MLB Score Ticker and more, MLB 08 The Show introduces SCOUT (SportsConnect Online User Tracking), which allows gamers to set and store their game preferences on the MLB server, and enables the system to look for a Quick Match with opponents that fits similar competitive criteria. [SCEA]"
1380,Unreal Championship 2: The Liandri Conflict,2005,EpicGames,Action;Shooter;First-Person;Sci-Fi,Xbox,85,8.3,8  Online,"Unreal Championship 2: The Liandri Conflict enhances both single and multiplayer gameplay, including all-new player acrobatics, third-person camera mode, vehicles, and intense melee abilities. In the single player campaign, you'll fight your way through new cities and arenas as Anubis, who attempts to retake his people's Nakhti Rite of Ascension Tournament from the machinations of the Liandri Corporation. The game also offer players the chance to fight head-to-head in eight-player tournaments over Xbox Live or System Link as any one of 14 characters--each with new adrenaline powers that enable offensive and defensive combos."
1381,Yakuza 0,2018,RyugaGotokuStudios,Action Adventure;Open-World,PC,85,8.6,Up to 4 ,"Tokyo 1988. Getting rich is easy, the women are beautiful, and everyone wants in on the action. It's time to become Yakuza. The glitz, glamour, and unbridled decadence of the 80s are back in Yakuza 0! Fight like hell through Tokyo and Osaka with protagonist Kazuma Kiryu and series regular Goro Majima. Play as Kazuma Kiryu and discover how he finds himself in a world of trouble when a simple debt collection goes wrong and his mark winds up murdered. Then, step into the silver-toed shoes of Goro Majima and explore his ""normal"" life as the proprietor of a cabaret club. Switch between three different fighting styles instantaneously and beat up all manner of goons, thugs, hoodlums, and lowlifes. Take combat up a notch by using environmental objects such as bicycles, sign posts, and car doors for bone-crunching combos and savage take-downs. Fighting is not the only way to kill time in 1988's Japan: from discos and hostess clubs to classic SEGA arcades, there are tons of distractions to pursue in the richly detailed, neon-lit world."
1382,Firewatch,2016,CampoSanto,Adventure;3D;First-Person,XboxOne,85,4.3,not specified,None
1383,Battlefield 4,2013,EADICE,Action;Shooter;Shooter;First-Person;Modern;Modern;Arcade,PlayStation 4,85,7.0,Up to 64 ,"Battlefield 4 is an action blockbuster that aims for unrivaled destruction. Fueled by Frostbite 3, Battlefield 4 allows you to demolish the buildings shielding your enemy. You will lead an assault from the back of a gun boat. Battlefield grants you the freedom to do more and be more while playing to your strengths and carving your own path to victory. Beyond its hallmark multiplayer, Battlefield 4 features an intense, dramatic character-driven campaign that starts with the evacuation of American VIPs from Shanghai and follows your squad's struggle to find its way home. Change the landscape in real-time with interactive environments that react to your every move. Dominate land, air and sea with all-new, intense water-based vehicular combat."
1384,Tom Clancy's Rainbow Six: Vegas,2006,UbisoftMontreal,Action;Shooter;Shooter;First-Person;Tactical;Modern;Modern,PC,85,7.7,16  Online,"The stakes are high when the world's most elite counter-terrorism unit enters Las Vegas, where over 36.7 million men, women and children visit each year. ""Sin City,"" the home of the famous Las Vegas Strip, flashy hotels, high-rolling casinos and world-famous celebrities, becomes the setting for a terrorist threat of global proportions. What happens when one of the world's most famous cities is held hostage by terrorists? [Ubisoft]"
1385,Super Street Fighter IV: 3D Edition,2011,Capcom,Action;Fighting;Fighting;3D;2D;3D,3DS,85,8.0,not specified,"The latest version of Street Fighter makes its transition to the Nintendo 3DS with Super Street Fighter IV: 3D Edition. The console experience is now in the palm of your hand with new features that utilize the capabilities of the Nintendo 3DS to its fullest. Packed with 35 playable characters, bonus stages and cinematic Ultra combos, Super Street Fighter IV: 3D Edition expands the action by allowing you to fight your friends around the world using Wi-Fi. New to the franchise are the figurine mode, which utilizes the Street Pass feature to add a collectible meta-game, and the 3D over-the-shoulder camera option that takes fighting to new depths. For those new to the franchise, a simple mode has been added allowing players to pull off challenging moves with a single touch of the screen."
1386,City of Heroes,2004,ParagonStudios,Role-Playing;Massively Multiplayer Online;Massively Multiplayer;Modern;Modern,PC,85,8.4,Massively Multiplayer,"City of Heroes is a super-powered hero based massively multiplayer online role-playing game. The game is set in Paragon City, a modern day metropolis full of super powered villains, alien invaders, and underground monsters. Players take on the roles of Paragon City's super-powered defenders. Create your own hero by choosing your powers and designing your own costume. [NCsoft]"
1387,Mass Effect 3: Special Edition,2012,StraightRight,Action RPG;Role-Playing;Action RPG,WiiU,85,7.6,Up to 4 ,None
1388,Castle Crashers,2010,TheBehemoth,Action;Beat-'Em-Up;Beat-'Em-Up;2D,PlayStation 3,85,8.4,1-4 ,"From the award-winning independent developer The Behemoth, creators of Alien Hominid HD, now you can experience medieval-style insanity in Castle Crashers."
1389,Pokemon Pearl Version,2007,GameFreak,Role-Playing;Console-style RPG;Console-style RPG;Trainer,DS,85,7.7,2 ,"Pokemon Diamond and Pearl are traditional Pokemon RPGs that takes place in a region called Sinnoh. When you set off on your travels, you'll be able to play as either a boy or girl Trainer. Pokemon fans have caught glimpses of Lucario, Munchlax and Weavile in Pokemon movies, and these Pokemon will are debuting in this adventure. Diamond and Pearl utilize the DS's dual slots to transfer Pokemon from the GBA Pokemon games. Also, you can link up with Pokemon Ranger to access more special content. [Nintendo]"
1390,Lara Croft and the Guardian of Light,2010,CrystalDynamics,Action;Action Adventure;Adventure;Shooter;General;General;Third-Person;Modern,Xbox 360,85,8.4,not specified,"[Xbox Live Arcade] Lara Croft and the Guardian of Light is the first ever co-op multiplayer action/adventure game featuring Lara Croft. This brand new adventure combines the hallmarks of the Tomb Raider franchise, including exploration and discovery, platforming, and puzzle solving combined with character progression, fun fast-paced combat, and elements of human cooperation and competition."
1391,BlazBlue: Chrono Phantasma Extend,2016,ArcSystemWorks,Action;Fighting;2D,PC,85,7.8,not specified,"The most definitive installment of the renouned 2D fighting game franchise, BlazBlue, can finally be taken into your living room. Uncover the secrets, of the Chrono Phantasma Extend."
1392,SWAT 4,2005,IrrationalGames,Action;Shooter;Shooter;First-Person;Modern;Arcade,PC,85,8.6,16  Online,"Show No Mercy In Defense of Life. Los Angeles: 2006. Gangs rule the city and crime's at an all-time high. As an elite SWAT officer, you must protect the lives of the innocent throughout 16 intense missions. There's no room for mistakes. Or mercy. What's it gonna be rookie? [Sierra]"
1393,Midnight Club II,2003,RockstarSanDiego,Driving;Racing;GT / Street,PlayStation 2,85,8.6,1-8 ,"The world's most notorious drivers meet each night on the streets of LA, Paris, and Tokyo. Choose from the latest performance enhanced cars and bikes and compete head-to-head to make a name for yourself. There are no rules. Drive anywhere in the city. Find the fastest route to win. The cops know you are out there - don't get caught. Race with up to 8 players throughout three massive, fully open cities in one of five online play modes. Select any car or bike that you've personally unlocked in offline arcade mode. Join a game or host one yourself via GameSpy.com. A broadband connection is required for online play - there is no slow lane on the streets of Midnight Club 2. [Rockstar Games]"
1394,Aggressive Inline,2002,"Z-Axis,Ltd.",Sports;Alternative;Skating,Xbox,85,7.7,1-2 ,"Aggressive Inline pushes your inline skating skills to the limit with a new Juice Meter, challenging objectives, and expansive levels. You can choose from an array of professional inline skaters--including Jaren Grob, Chris Edwards, and Shane Yost--and showcase your talent in various interactive skate parks. Perform a variety of manuals, grinds, big-air tricks, wall flips, hand plants, and more, to build up your Juice Meter and avoid elimination. Aggressive Inline also includes a Park Editor that lets you design your own skate park, complete with rails, ramps, and pipes."
1395,Clive Barker's Undying,2001,DreamworksGames,Action;Shooter;Shooter;First-Person;Fantasy;Fantasy;Arcade,PC,85,8.8,1 Player,"An FPS that delivers an unparalleled tale of horror. Summoned by an old friend, you are Patrick Galloway, master of the occult, armed with the dark knowledge of arcane magic and a six-shot weapon of forged metal grace. You must unravel the curse of the Covenant family ... or die trying. [Electronic Arts]"
1396,Rollcage Stage II,2000,AttentionToDetail,Driving;Racing;Futuristic,PlayStation,85,8.9,not specified,"The game may not have the lasting appeal of Psygnosis' Wipeout or Namco's Ridge Racer, but it has enough gameplay, eye candy, and bonus secrets to put it near the top of what the PlayStation has to offer."
1397,EverQuest,1999,SonyOnlineEntertainment,Role-Playing;Massively Multiplayer Online;Massively Multiplayer;Fantasy;Fantasy,PC,85,8.3,Massively Multiplayer,"Prepare to enter an enormous virtual environment-an entire world with its own diverse species, economic systems, alliances, and politics. Choose from a variety of races and classes, customize your character, and begin your quest in any number of cities of villages throughout multiple continents. Equip yourself for adventure, seek allies and knowledge, and experience a rich world of dungeons, towers, crypts, evil abbeys-anything is possible-even planes and realities beyond your imagination. Meet new friends from around the world to face epic challenges. Make yourself a noble human knight, a vicious dark elf thief, a greedy dwarven merchant, or whatever suits your desire. [Sony Online Entertainment]"
1398,F-Zero X,1998,Nintendo,Driving;Racing;Futuristic,Nintendo 64,85,8.7,1-4 ,"It's you against 29 other machines competing for the title of F-Zero X Champion. You're racing at speeds of over 1,000 km/h high above the atmosphere. Your competition comes from every corner of the galaxy and won't shed a tear at the thought of smashing you off the track. With four-player simultaneous gameplay and the Rumble Pak accessory, you have the fastest racing game on the N64 system!"
1399,Trials Evolution: Origin of Pain,2012,RedLynx,Street;Driving;Racing;Simulation;Motorcycle;Automobile;Street,Xbox 360,85,8.4,not specified,"The Origin of Pain DLC builds on the successes of Trials Evolution, offering tons of new editor objects, 36 brand new tracks, and a brand new BMX bike, the first time a bike mode has ever been offered in a Trials game."
1400,Tom Clancy's Splinter Cell Double Agent,2006,UbisoftShanghai,Action Adventure;Modern;General;Modern,Xbox 360,85,8.1,6  Online,"Veteran agent Sam Fisher is back. But he's never faced an enemy like this before. To stop a devastating terrorist attack, he must infiltrate a vicious terrorist group and destroy it from within. For the first time ever, experience the relentless tension and gut-wrenching dilemmas of life as a double agent. As you infiltrate a terrorist organization in its American headquarters, you must carefully weigh the consequences of your actions. Kill too many criminals and you'll blow your cover. Hesitate too long and millions will die. Do whatever it takes to complete your mission, but get out alive. Dual objectives to fulfill: NSA government agents and terrorists will each want you to accomplish opposing tasks at the same time. Discover the tension of being a double agent: Use actual tactics employed by today’s real-life double agents to sabotage the terrorists' plans. Explore a branching storyline with multiple endings: Your choices have an impact on how the story and game play unfolds. Missions from all over the world, from Asia to Africa to the heart of the US. Experience extreme situations: underwater or in a sandstorm, hiding behind the dust or smoke – and even skydiving. Master the latest weapons and gadgets used by NSA government agents in addition to black-market terrorist weapons. [Ubisoft]"
1401,Pillars of Eternity: Complete Edition,2017,"ObsidianEntertainment,ParadoxArctic",Role-Playing;Western-Style,PlayStation 4,85,7.7,No Online Multiplayer,"Pillars of Eternity, the ultimate role-playing experiences comes to PS4! Created by and for role-playing fans by Obsidian Entertainment and adapted by Paradox Arctic — together bringing Pillars’ fantastical world, tactical combat, and unforgettable story to you."
1402,Bravely Default,2014,SiliconStudio,Console-style RPG;Role-Playing;Console-style RPG;Japanese-Style,3DS,85,8.4,No Online Multiplayer,[Available in the U.S. - Feb 2014] This new yet traditional offering from Square Enix captures the charm and elegant and simplicity of yesteryear's canonical RPGs. Become a Warrior of Light and journey to the land of Luxemdarc in this classic tale of personal growth and adventure.
1403,DOOM,2016,idSoftware,Sci-Fi;Third-Person;Action;Shooter;First-Person;Arcade,PlayStation 4,85,8.3,Up to 12 ,"There is no taking cover or stopping to regenerate health in campaign mode as you beat back Hell’s raging demon hordes. Combine your arsenal of futuristic and iconic guns, upgrades, movement and an advanced melee system to knock-down, slash, stomp, crush, and blow apart demons in creative and violent ways. In multiplayer, dominate your opponents in DOOM’s signature, fast-paced arena-style combat. In both classic and all-new game modes, annihilate your enemies utilizing your personal blend of skill, powerful weapons, vertical movement, and unique power-ups that allow you to play as a demon. DOOM SnapMap is an easy-to-use game and level editor that allows for limitless gameplay experiences on every platform. Anyone can snap together and customize maps, add pre-defined or custom gameplay, and edit game logic to create new modes. Instantly play your creation or make it available to players around the world. [ID/Bethesda]"
1404,Far Cry Instincts,2005,UbisoftMontreal,Action;Shooter;First-Person;Modern,Xbox,85,5.7,1-16 ,"After escorting an inquisitive journalist to a remote tropical island, Jack Carver finds himself stranded in paradise, hunted by an unrelenting team of highly trained mercenaries. As Jack, you must outwit hordes of mercenaries by using a variety of tactics. Make long-range assaults, set traps, commandeer vehicles, and even develop new skills and abilities to outlast the island's evils so that you can escape with your life. Discover new locations in single-player mode or build your own maps in multiplayer modes."
1405,"Warhammer 40,000: Dawn of War II",2009,Relic,Strategy;Real-Time;Sci-Fi;Sci-Fi;General,PC,85,8.1,Online Multiplayer,"Warhammer 40,000: Dawn of War II is set in the grim, war-ravaged world of Games Workshop’s Warhammer 40,000 universe – a dark, futuristic, science-fiction setting where armies of technologically advanced warriors, fighting machines and hordes of implacable aliens wage constant war. Dawn of War II ushers in a new chapter in the RTS series, as ancient races – including the dauntless Space Marines and savage Orks - clash across ruined worlds on a mission to claim the galaxy and preserve their own existence. Powered by the re-vamped Essence Engine 2.0, the next evolution of Relic’s proprietary game engine made famous in the award winning Company of Heroes, Warhammer 40,000: Dawn of War II delivers fast-paced RTS action with ferocious melee and ranged combat in fully destructible environments. The game immerses players in an in-depth non-linear single-player campaign and a fully-co-operative multiplayer mode. [THQ]"
1406,Dark Souls Remastered,2018,FromSoftware,Role-Playing;Action RPG,PlayStation 4,85,6.2,Up to 6 ,"Embark upon an epic dark fantasy in a universe stricken by decline and the Curse. Explore its intricate world design - full of hidden passages, dungeons and secrets - and uncover its deeply rooted lore."
1407,Paradigm,2017,JacobJanerka,Adventure;Point-and-Click,PC,85,7.3,not specified,"Paradigm is a surreal adventure game set in the strange and post apocalyptic Eastern European country of Krusz. Play as the handsome mutant, Paradigm, who's past comes back to haunt him in the form of a genetically engineered sloth that vomits candy."
1408,NBA 2K14,2013,VisualConcepts,Sports;Traditional;Team;Basketball;Sim;Sim,PlayStation 4,85,6.5,Up to 10 ,"NBA 2K14 promises to raise the bar yet again, providing the best basketball gaming experience for legions of sports fans and gamers around the world."
1409,Battlefield 3,2011,EADICE,Action;Shooter;Shooter;First-Person;Modern;Tactical;Modern;Arcade,PlayStation 3,85,7.5,Up to 24 ,"As bullets whiz by, walls crumble, and explosions throw you to the ground, the battlefield feels more alive and interactive than ever before. In Battlefield 3, players step into the role of the elite U.S. Marines where they will experience heart-pounding single player missions and competitive multiplayer actions ranging across diverse locations from around the globe including Europe, Middle-East and North America."
1410,Tekken Tag Tournament,2000,Namco,Action;Fighting;3D,PlayStation 2,85,8.4,1-4 ,"The follow-up to ""Tekken 3"" features 2000 moves in all, and allows for four-player mayhem when utilizing the multi-tap for the tag team experience."
1411,Onimusha 3: Demon Siege,2004,Capcom,Action Adventure;Fantasy,PlayStation 2,85,8.6,1 Player,"In Onimusha 3 Demon Siege the year is 1582 and 10 years have passed since the events that unfolded in Onimusha 2 Samurai?s Destiny. The stage is set at the burning Honnoji Temple, as the famous Onimusha warrior Samanosuke Akechi (Takeshi Kaneshiro) continues to fight the demons in his path. The moment has finally arrived for Samanosuke to confront the true enemy that has eluded him until now, the undying Nobunaga Oda. Unfortunately before the long-awaited final battle begins, Samanosuke is suddenly engulfed in a whirlpool of light and disappears. The year is 2004. A peaceful French metropolis is suddenly attacked by demons. In the blink of an eye, the city is transformed into a hellish sea of blood as Genma demons slaughter civilians and soldiers one by one. Within this pit of darkness appears one man who stands up against the Genma demons, Jacques Braun (Jean Reno). As a member of the French army, Jacques is deployed to the nightmarish scene only to discover himself amid a plague of horrific enemies that are beyond anyone?s imagination. An ancient samurai warrior unexpectedly appears to help him defend the helpless city. As they cooperatively fight off the demons, Jacquesis caught in a mysterious vortex and vanishes to feudal Japan, leaving the warrior behind in modern day France. Why has Samanosuke appeared in present Paris and Jacques in feudal Japan? What fate awaits these two men? The fierce and bloody battle is unfurled as the beginning of the final Onimusha chapter unfolds. [Capcom]"
1412,Red Faction: Guerrilla,2009,VolitionInc.,Action;Shooter;Shooter;Third-Person;Sci-Fi;Sci-Fi;Arcade,PlayStation 3,85,8.0,Up to 16 ,"Red Faction: Guerrilla is a 3rd person, open-world action shooter set on Mars, 50 years after the events of the original Red Faction. Players assume the role of an insurgent fighter with the newly re-established Red Faction movement as they battle for liberation from the oppressive Earth Defense Force. Throughout their fight for freedom, players carve their own path, wreaking havoc across the vast, open-world environment of Mars, from the desolate mining outpost of Parker to the gleaming EDF capital city of Eos. Utilizing improvised weapons, explosives and re-purposed mining equipment and vehicles, Red Faction: Guerrilla allows players to tear through fully destructible environments in an unforgiving Martian landscape swarming with EDF forces, Red Faction resistance fighters, and the downtrodden settlers caught in the cross-fire. Red Faction: Guerrilla also features a robust multiplayer component, including several modes focused on destruction-based gameplay. [THQ]"
